"unitid","value","year","metric","var_type"
100663,5,2021,"pct_international","raw"
100663,0,2021,"pct_nhpi","raw"
100663,33.034232132442,2021,"pct_part_time","computed"
100663,3,2021,"pct_race_unknown","raw"
100663,4,2021,"pct_two_or_more","raw"
100663,60.778859527121,2021,"pct_undergrad","computed"
100663,55,2021,"pct_white","raw"
100663,25,2021,"residential_share","external"
100663,22289,2021,"total_enrollment","raw"
100663,1234,2021,"transfer_in_enrollment","raw"
100663,13547,2021,"undergraduate_enrollment","raw"
100663,2217,2022,"first_time_enrollment","raw"
100663,15080,2022,"full_time_enrollment","raw"
100663,16,2022,"pct_age_25plus","raw"
100663,0,2022,"pct_aian","raw"
100663,7,2022,"pct_asian","raw"
100663,37,2022,"pct_bipoc","computed"
100663,21,2022,"pct_black","raw"
100663,39.7754055178151,2022,"pct_graduate","computed"
100663,5,2022,"pct_hispanic","raw"
100663,7,2022,"pct_international","raw"
100663,0,2022,"pct_nhpi","raw"
100663,30.3110125236841,2022,"pct_part_time","computed"
100663,5,2022,"pct_race_unknown","raw"
100663,4,2022,"pct_two_or_more","raw"
100663,60.2245944821849,2022,"pct_undergrad","computed"
100663,51,2022,"pct_white","raw"
100663,25,2022,"residential_share","external"
100663,21639,2022,"total_enrollment","raw"
100663,1133,2022,"transfer_in_enrollment","raw"
100663,13032,2022,"undergraduate_enrollment","raw"
100663,2095,2023,"first_time_enrollment","raw"
100663,14815,2023,"full_time_enrollment","raw"
100663,17,2023,"pct_age_25plus","raw"
100663,0,2023,"pct_aian","raw"
100663,8,2023,"pct_asian","raw"
100663,40,2023,"pct_bipoc","computed"
100663,22,2023,"pct_black","raw"
100663,41.4839319470699,2023,"pct_graduate","computed"
100663,6,2023,"pct_hispanic","raw"
100663,8,2023,"pct_international","raw"
100663,0,2023,"pct_nhpi","raw"
100663,29.9858223062382,2023,"pct_part_time","computed"
100663,3,2023,"pct_race_unknown","raw"
100663,4,2023,"pct_two_or_more","raw"
