"unitid","year","metric","value"
101709,2024,"pct_athletes_overall",26.3001485884101
101709,2024,"pct_female_athletes",18.1063122923588
101709,2024,"pct_male_athletes",38.4049079754601
101709,2024,"total_athletes_undup",531
101709,2024,"total_varsity_sports",19
101709,2024,"womens_varsity_sports",10
101879,2024,"female_athletes_undup",144
101879,2024,"male_athletes_undup",212
101879,2024,"mens_varsity_sports",6
101879,2024,"multi_sport_ratio",1.00561797752809
101879,2024,"pct_athletes_overall",7.16297786720322
101879,2024,"pct_female_athletes",4.63469584808497
101879,2024,"pct_male_athletes",11.3794954374665
101879,2024,"total_athletes_undup",356
101879,2024,"total_varsity_sports",14
101879,2024,"womens_varsity_sports",8
101912,2024,"female_athletes_undup",55
101912,2024,"male_athletes_undup",55
101912,2024,"mens_varsity_sports",3
101912,2024,"multi_sport_ratio",1.01818181818182
101912,2024,"pct_athletes_overall",9.96376811594203
101912,2024,"pct_female_athletes",8.88529886914378
101912,2024,"pct_male_athletes",11.340206185567
101912,2024,"total_athletes_undup",110
101912,2024,"total_varsity_sports",7
101912,2024,"womens_varsity_sports",4
102049,2024,"female_athletes_undup",144
102049,2024,"male_athletes_undup",244
102049,2024,"mens_varsity_sports",6
102049,2024,"multi_sport_ratio",1.29639175257732
102049,2024,"pct_athletes_overall",9.35390549662488
102049,2024,"pct_female_athletes",5.32938564026647
102049,2024,"pct_male_athletes",16.8741355463347
102049,2024,"total_athletes_undup",388
102049,2024,"total_varsity_sports",13
102049,2024,"womens_varsity_sports",7
102094,2024,"female_athletes_undup",144
102094,2024,"male_athletes_undup",242
102094,2024,"mens_varsity_sports",8
102094,2024,"multi_sport_ratio",1.30310880829016
102094,2024,"pct_athletes_overall",4.95507060333761
102094,2024,"pct_female_athletes",2.95021511985249
102094,2024,"pct_male_athletes",8.31900996906153
102094,2024,"total_athletes_undup",386
102094,2024,"total_varsity_sports",17
102094,2024,"womens_varsity_sports",9
102234,2024,"female_athletes_undup",133
102234,2024,"male_athletes_undup",160
102234,2024,"mens_varsity_sports",6
102234,2024,"multi_sport_ratio",1.15699658703072
